STT,Mã Nhóm,Tên Nhóm Sản Phẩm,Tồn Đầu SL,Tồn Đầu VNĐ,Tổng Tiền Nhập VNĐ,Tổng Tiền Xuất HĐ VNĐ,Tổng Tiền Giá Vốn VNĐ,Tồn Cuối SL,Tồn Cuối VNĐ,Nhập T1 VNĐ,Xuất T1 VNĐ,Nhập T2 VNĐ,Xuất T2 VNĐ,Nhập T3 VNĐ,Xuất T3 VNĐ,Nhập T4 VNĐ,Xuất T4 VNĐ,Nhập T5 VNĐ,Xuất T5 VNĐ,Nhập T6 VNĐ,Xuất T6 VNĐ,Nhập T7 VNĐ,Xuất T7 VNĐ,Nhập T8 VNĐ,Xuất T8 VNĐ,Nhập T9 VNĐ,Xuất T9 VNĐ,Nhập T10 VNĐ,Xuất T10 VNĐ,Nhập T11 VNĐ,Xuất T11 VNĐ,Nhập T12 VNĐ,Xuất T12 VNĐ
11.0,LCD-DELL-27,Màn hình DELL 27 inch,36.0,95976098.0,155309688.0935813,48877274.0,56895243.4636781,79.0,194390542.6299032,0.0,6647257.327004643,6283164.748109921,6727522.417079032,32260619.71662761,13269449.41669652,5807967.495563338,13344587.38606427,3854378.252874836,6592838.991081066,15267914.28873237,0.0,5895966.915072366,6767081.809179887,0.0,0.0,22343074.78041813,3546506.116572679,6371164.167618949,0.0,0.0,0.0,57225437.72856378,0.0
12.0,LCD-SAM-19,Màn hình Samsung 19-20 inch,2.0,2769554.0,1759990.326169723,2081818.0,1906466.029095888,2.0,2623078.297073835,0.0,0.0,0.0,0.0,1759990.326169723,1906466.029095888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,LCD-SAM-24,Màn hình Samsung 24-27 inch,4.0,8989807.0,9415947.567411812,7881819.0,8664585.289381864,5.0,9741169.278029948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6995961.110927088,8664585.289381864,0.0,0.0,0.0,0.0,2419986.456484724,0.0,0.0,0.0
14.0,MS-LOGI,Chuột Logitech,739.0,88525076.0,107409092.0037891,81939998.0,84357553.57214132,1237.0,111576614.4316477,3079982.586799724,5939134.46501935,10195421.00798026,1360296.168787992,4866390.453123018,6357465.640444922,13389120.05145174,4310993.617121229,10603940.21478098,6037959.219005461,4678921.78664998,4404298.619795488,3727659.050062053,7611274.741781331,22893732.22086789,5552042.882017856,7622519.804375548,3867162.555235251,4480934.042339548,15762772.37125169,15853061.20594288,3758074.963980461,6017409.579415429,19396078.32770029
15.0,MS-RAPO,Chuột Rapoo,1483.0,136479279.0,138272746.6810837,106930001.0,188860944.8279818,1196.0,85891080.85310186,0.0,4015554.457654906,0.0,1606221.783061963,0.0,4130284.585016476,17269906.16453432,4036796.685454171,0.0,93213305.28230542,116866862.9596521,4049157.913313672,0.0,15021069.67842169,0.0,18417137.60571703,4135977.556897225,9460572.35864742,0.0,6262632.406428573,0.0,6129384.908419456,0.0,22518827.16354105
16.0,OTH-GEN-MID,Hàng hóa khác,6410.0,4230966858.0,2833612949.912596,4738500807.0,3289826496.351221,8802.245,3774753311.561375,256745000.5841249,329158002.6579762,141808546.3796843,34737555.63108806,198442421.6439793,446386006.0982314,291293298.3537045,213497796.7342614,148183068.4417178,191170924.4246266,207484341.7063395,69173329.36387223,222110682.9439576,632045854.1710213,177776379.7428921,221328153.2144486,322155324.9472123,450094181.2889934,265047053.5534759,300697865.0412976,325585123.7207146,157024516.2567831,276981707.8947937,244512311.4686213
17.0,PC-ASU-EXP,Laptop ASUS ExpertBook,4.0,31185063.0,0.0,17727272.0,19438759.08227341,2.0,11746303.91772659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19438759.08227341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,PC-ASU-ROG,Laptop ASUS Gaming (ROG/TUF),18.0,49819147.0,45967354.04199039,43027276.0,58081546.7929768,17.0,37704954.24901358,0.0,0.0,9583146.367679507,0.0,0.0,3545244.633645741,16315108.25208493,11030036.10827052,0.0,0.0,4756305.032666199,0.0,0.0,43506266.05106054,6297245.197308332,0.0,9015549.192251423,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,PC-DELL-INS,Laptop DELL Inspiron Series,217.0,1734085479.0,2021451619.800084,1731336359.0,1897456477.145462,277.0,1858080621.654623,4830292.96714351,0.0,229661114.2557782,0.0,60279662.37934824,16610896.886672,0.0,33221793.77334399,133368503.6008926,144401127.7177483,188318946.5082633,90948647.32443187,79104517.28957266,94515715.0119308,456629444.7257888,616232837.3089584,269718489.8976645,326794140.1380389,251414595.1518734,98492416.86645402,348126053.0237587,176001333.3913915,0.0,300237568.7264915
20.0,PC-DELL-INS-DT,PC Dell Inspiron Desktop,10.0,121629071.0,56759681.7270088,94527273.0,105373931.5232812,8.0,73014821.20372756,0.0,0.0,0.0,0.0,23583867.66028946,0.0,0.0,0.0,0.0,0.0,23407868.8212714,15153690.69670728,0.0,30307381.39341456,0.0,0.0,0.0,15153690.69670728,0.0,0.0,9767945.245447924,14919722.9121507,0.0,29839445.8243014
